e,l,v,h
l,p,d,r
-0.09,"-0.03
"
-0.09,"-0.05
"
-0.09,"-0.03
"
-0.10,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.03
"
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.00
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.10,"-0.03
"
-0.09,"-0.00
"
-0.09,"-0.03
"
-0.09,"-0.00
"
-0.09,"0.02
"
-0.10,"0.05
"
-0.10,"0.09
"
-0.09,"-0.05
"
-0.09,"-0.13
"
-0.09,"-0.15
"
-0.09,"-0.20
"
-0.09,"-0.00
"
-0.09,"-0.10
"
-0.10,"-0.20
"
-0.09,"-0.25
"
-0.09,"-0.30
"
-0.10,"-0.30
"
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.09,"0.02
"
-0.09,"0.12
"
-0.09,"0.17
"
-0.09,"0.12
"
-0.09,"0.17
"
-0.09,"-0.00
"
-0.10,"0.12
"
-0.09,"0.12
"
-0.10,"0.14
"
-0.10,"0.17
"
-0.10,"0.19
"
-0.08,"0.17
"
-0.10,"0.09
"
-0.09,"0.14
"
-0.09,"0.17
"
-0.09,"0.14
"
-0.09,"0.17
"
-0.09,"0.17
"
-0.09,"0.07
"
-0.09,"0.09
"
-0.09,"0.19
"
-0.10,"0.17
"
-0.10,"0.29
"
-0.09,"0.02
"
-0.09,"0.02
"
-0.09,"-0.00
"
-0.10,"-0.00
"
-0.09,"-0.05
"
-0.09,"0.14
"
-0.09,"0.12
"
-0.10,"-0.00
"
-0.09,"-0.03
"
-0.09,"-0.00
"
-0.10,"-0.00
"
-0.09,"0.07
"
-0.10,"0.70
"
-0.09,"1.07
"
-0.09,"1.36
"
-0.09,"1.55
"
-0.09,"1.68
"
-0.09,"1.73
"
-0.09,"1.94
"
-0.09,"-0.05
"
-0.10,"-0.03
"
-0.09,"-0.00
"
-0.08,"-0.00
"
0.04,"-0.03
"
0.09,"-0.03
"
0.18,"-0.03
"
0.28,"-0.05
"
0.33,"-0.03
"
0.35,"-0.03
"
0.43,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.05
"
-0.09,"-0.03
"
-0.09,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.05
"
-0.09,"-0.05
"
-0.09,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.00
"
-0.10,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.00
"
-0.08,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.00
"
-0.09,"-0.03
"
-0.09,"-0.05
"
-0.09,"-0.03
"
-0.09,"0.02
"
-0.09,"-0.00
"
-0.09,"-0.03
"
-0.09,"-0.03
"
-0.09,"-0.05
"
-0.09,"-0.03
"
-0.09,"-0.05
"
